,"Glebe Point Rd & Parramatta Rd, Sydney",Glebe Public School,Glebe Public School,"Elizabeth St & Alt St, Ashfield","The Nags Head Pub, Glebe",Glebe Public School,"Glebe Point Road, Glebe","249 Homer Lane, Earlwood","7-Eleven, Croydon Park Avenue, Croydon Park","Summer Hill Station, NSW","Ritz Cinema, Randwick","Barneys Broadway, Sydney","Federal Park, Annandale","The Footbridge, University of Sydney",Glebe Library,"1 King St, Newtown","35 Arundel St, Glebe","20 Brighton Ave, Croydon Park","Annandale Street, Annandale","Glebe Point Rd, Glebe","Clovelly Beach, Sydney"
"Glebe Point Rd & Parramatta Rd, Sydney",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8044.0,1344.0,3850.0,,94.0,2447.0,1172.0,8763.0,1925.0,0.0,9869.0
Glebe Public School,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7309.0,609.0,4028.0,,829.0,1712.0,632.0,9129.0,2681.0,735.0,9134.0
Glebe Public School,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7309.0,609.0,4028.0,,829.0,1712.0,632.0,9129.0,2681.0,735.0,9134.0
"Elizabeth St & Alt St, Ashfield",919245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923180.0,919224.0,920478.0,,919339.0,920598.0,919919.0,913923.0,921470.0,919245.0,925004.0
"The Nags Head Pub, Glebe",180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7862.0,1161.0,3668.0,,274.0,2265.0,990.0,8586.0,2126.0,180.0,9686.0
Glebe Public School,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7309.0,609.0,4028.0,,829.0,1712.0,632.0,9129.0,2681.0,735.0,9134.0
"Glebe Point Road, Glebe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8044.0,1344.0,3850.0,,94.0,2447.0,1172.0,8763.0,1925.0,0.0,9869.0
"249 Homer Lane, Earlwood",8691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12549.0,9223.0,8717.0,,8785.0,8037.0,8943.0,5257.0,7215.0,8691.0,15715.0
"7-Eleven, Croydon Park Avenue, Croydon Park",8514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17818.0,9046.0,8188.0,,8608.0,8752.0,8765.0,260.0,7037.0,8514.0,20365.0
"Summer Hill Station, NSW",5561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17150.0,6092.0,4927.0,,5654.0,5336.0,5812.0,3613.0,4084.0,5561.0,16859.0
"Ritz Cinema, Randwick",8321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7045.0,13438.0,,8415.0,7734.0,7759.0,18049.0,14430.0,8321.0,3239.0
"Barneys Broadway, Sydney",1371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7128.0,0.0,4215.0,,1465.0,1531.0,809.0,9306.0,3766.0,1371.0,8952.0
"Federal Park, Annandale",1954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11970.0,3091.0,0.0,,1860.0,3564.0,2811.0,8326.0,1244.0,1954.0,12822.0
"The Footbridge, University of Sydney",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Glebe Library,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8138.0,1438.0,3944.0,,0.0,2541.0,1266.0,8857.0,1831.0,94.0,9962.0
"1 King St, Newtown",2141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7201.0,1285.0,5366.0,,2235.0,0.0,1579.0,8836.0,2588.0,2141.0,9025.0
"35 Arundel St, Glebe",1185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7687.0,987.0,5067.0,,1278.0,2090.0,0.0,8686.0,2249.0,1185.0,9511.0
"20 Brighton Ave, Croydon Park",8529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17833.0,9061.0,8203.0,,8623.0,9210.0,8780.0,0.0,7052.0,8529.0,20380.0
"Annandale Street, Annandale",1907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12814.0,3053.0,2987.0,,1813.0,2750.0,2773.0,7343.0,0.0,1907.0,13666.0
"Glebe Point Rd, Glebe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8044.0,1344.0,3850.0,,94.0,2447.0,1172.0,8763.0,1925.0,0.0,9869.0
"Clovelly Beach, Sydney",11432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3236.0,8719.0,12665.0,,11526.0,9409.0,9433.0,20510.0,13657.0,11432.0,0.0
